category,checksum,file_name,id,jurisdiction,license,published_at,retrieved_at,role,source_url,title,version
placing_orders,sha256:0a91f4c31c8293eac4b01779e5226afe2f5eba2e48bd64d1fceb09292dc2fd0a,ubereats-accessibility-talkback.md,customer-accessibility-talkback-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T21:30:00Z,customer,https://help.uber.com/ubereats/restaurants/article/accessibility-how-to-use-talkback?nodeId=58e9c395-d32d-478f-a566-4bbe73aeb690,Accessibility – How to Use TalkBack,1.0
placing_orders,sha256:f2d8a12ec66443c9e7f0478c535967337d4f381a59e93ce3b563de4db7ca46ff,ubereats-availability.md,customer-availability-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T21:00:00Z,customer,https://help.uber.com/en-AU/ubereats/restaurants/article/when-and-where-is-uber-eats-available-?nodeId=3f8de61e-09dd-4844-afb2-749c9ffc65a8,When and Where Is Uber Eats Available?,1.0
payments_refunds,sha256:b9a2d178e6fe2d13f7855a7834d1b121f17c4e1eecc0d53ca931ca91a176e19f,ubereats-credits.md,customer-credits-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T22:10:00Z,customer,https://help.uber.com/ubereats/restaurants/article/how-do-uber-credits-work?nodeId=de1d0166-f658-48eb-9033-e87325db7ac7,How Do Uber Credits Work?,1.0
placing_orders,sha256:b8e8d016ef37134842b401db24b82500a9ff080e60fb9817fb053eb3abc5700b,ubereats-how-to-order.md,customer-how-to-order-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T19:40:00Z,customer,https://help.uber.com/en-AU/ubereats/restaurants/article/how-do-i-order-uber-eats----?nodeId=509d1b2f-087c-4dac-9e94-6ab248e87491,How to Place an Order on Uber Eats,1.0
policies_guidelines,sha256:38680dd0d466367591763fa979dc395d565bfb071aa8c7c0b0c983f1baece7a8,uber-community-guidelines-au-nz.md,policy-community-guidelines-au-nz-v1,"['AU', 'NZ']",© Uber; used for educational purposes only,,2025-09-21T23:40:00+10:00,all_users,https://www.uber.com/legal/en/document/?name=general-community-guidelines&country=australia&lang=en,Uber Community Guidelines (Australia & New Zealand),1.0
delivery_issues,sha256:f7a50f1b522dcb20bc7fe986874aaea4a27f9f08e153c61a33696115996b69bd,ubereats_food_safety.md,customer-food-safety-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T17:50:00Z,customer,https://help.uber.com/ubereats/restaurants/article/i-had-a-food-safety-issue-with-my-order?nodeId=c9210825-ef20-4b63-8678-930a9dd36d16,Food Safety Issue With My Order,1.0
placing_orders,sha256:437e9ae7dac43823d3dfe5f7807b15e2180f6168d16795c39bce662f38eb5779,ubereats-business-group-order.md,customer-business-group-order-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T20:20:00Z,customer,https://help.uber.com/ubereats/restaurants/article/how-to-place-a-business-group-order?nodeId=522c8627-132d-4872-958f-564d2e20b824,How to Place a Business Group Order,1.0
placing_orders,sha256:18f6842d7b57a32a85b71ee940287371df1d4daa2ccce58aa8e5b64d186756e3,ubereats-multiple-restaurants.md,customer-multiple-orders-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T21:10:00Z,customer,https://help.uber.com/en-AU/ubereats/restaurants/article/can-i-order-multiple-meals-or-from-multiple-restaurants-in-the-same-order?nodeId=c91bfe9b-a6e7-4478-a317-37de51499bb8,"Can I Order Multiple Meals, or From Multiple Restaurants, in the Same Order?",1.0
delivery_issues,sha256:66706cb0ca796aebcdd939b5f1446aef2d5df5699bf68843b046a926965f4c1d,ubereats_order_never_arrived_au_v1.md,customer-order-never-arrived-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T17:00:00Z,customer,https://help.uber.com/ubereats/restaurants/article/order-never-arrived?nodeId=23e258f9-8040-49f1-a74f-0fdf9fef6cba,Order Never Arrived,1.0
delivery_issues,sha256:e9268a758b893cc64cc872947a0e69d73134b8256788c1a00e3930e3bb1761d4,ubereats-property-damage.md,customer-property-damage-au-v1,AU,© Uber; used for educational purposes only,,2025-09-21T19:00:00Z,customer,https://help.uber.com/ubereats/restaurants/article/i-want-to-report-a-property-damage-incident?nodeId=07531584-f8f1-4890-ae0d-72c59cf5e5a5,Report a Property Damage Incident,1.0
